Frame,uiPartAddr,CU_X,CU_Y,CU_Height,CU_Width,MV_X,MV_Y
2,0,320,160,16,16,0,0
2,0,336,160,12,16,-23,20
2,10,336,160,4,16,-24,0
2,0,320,176,8,16,0,-2
2,8,320,176,8,16,-31,34
2,0,336,176,16,8,-21,-27
2,4,336,176,16,8,-25,24
2,0,352,160,32,32,-21,20
2,0,384,128,16,16,0,0
2,0,400,128,16,16,0,0
2,0,384,144,8,8,0,0
2,0,392,144,8,8,0,0
2,0,384,152,8,8,-21,20
2,0,392,152,8,8,0,0
2,0,400,144,16,16,0,0
2,0,416,128,32,32,0,0
2,0,384,160,32,8,-21,20
2,4,384,160,32,24,0,0
2,0,416,160,32,32,0,0
2,0,448,128,32,32,0,0
2,0,480,128,32,32,0,-1
2,0,448,160,32,32,0,0
2,0,480,160,32,32,0,0
2,0,520,128,8,8,-101,39
2,0,512,136,8,8,0,-1
2,0,520,136,4,8,-101,39
2,2,520,136,4,8,0,0
2,0,528,128,8,8,-50,19
2,0,536,128,8,8,-60,-2
2,0,528,136,4,8,-101,39
2,2,528,136,4,8,-3,2
2,0,536,136,8,8,-3,2
2,0,512,144,8,16,0,0
2,8,512,144,8,16,-4,6
2,0,528,144,8,8,-5,5
2,0,536,144,8,8,-3,2
2,0,528,152,8,8,-3,2
2,0,536,152,8,8,0,0
2,0,544,128,16,8,-3,2
2,4,544,128,16,8,-12,1
2,0,560,128,8,8,-26,0
2,0,560,136,8,8,-12,-4
2,0,568,136,4,8,-7,1
2,2,568,136,4,8,-5,3
2,0,544,144,16,16,0,0
2,0,560,144,16,16,0,0
2,0,512,160,32,16,3,3
2,16,512,160,32,16,0,0
2,0,544,160,32,32,0,0
2,0,576,128,12,16,-10,-4
2,10,576,128,4,16,-5,3
2,0,592,128,16,16,0,0
2,0,576,144,16,16,0,0
2,0,592,144,16,16,0,0
2,0,608,128,32,32,0,0
2,0,576,160,32,32,0,0
2,0,608,160,32,32,0,0
2,0,640,128,32,64,-2,-2
2,128,640,128,32,64,-1,-2
2,0,704,128,64,64,1,-1
2,0,768,128,64,64,1,0
2,0,0,192,32,32,1,-1
2,0,32,192,32,32,1,-1
2,0,0,224,32,32,1,-1
2,0,32,224,32,32,0,0
2,0,64,192,16,16,1,-1
2,0,80,192,16,16,0,0
2,0,64,208,16,16,1,-1
2,0,80,208,16,16,0,12
2,0,96,192,32,32,-1,2
2,0,64,224,32,32,-1,2
2,0,96,224,16,32,-9,18
2,32,96,224,16,32,-14,1
2,0,128,192,32,16,-1,2
2,16,128,192,32,16,1,0
2,0,160,192,32,32,1,-1
2,0,128,224,16,16,-1,2
2,0,144,224,16,16,-1,2
2,0,128,240,16,16,-9,18
2,0,144,240,8,8,-1,2
2,0,152,240,8,8,-1,2
2,0,144,248,8,8,-9,18
2,0,152,248,8,8,-1,2
2,0,160,224,32,32,1,-1
2,0,192,192,32,32,1,-1
2,0,224,192,32,32,0,0
2,0,192,224,32,32,1,-1
2,0,224,224,32,32,0,0
2,0,256,192,32,32,0,0
2,0,288,192,16,16,0,0
2,0,304,192,16,16,-31,34
2,0,288,208,16,8,0,0
2,4,288,208,16,8,-31,34
2,0,304,208,16,16,-31,37
2,0,256,224,16,16,0,0
2,0,272,224,16,8,0,0
2,4,272,224,16,8,-31,13
2,0,256,240,16,16,0,0
2,0,272,240,16,16,0,0
2,0,288,224,16,16,-31,37
2,0,304,224,16,16,-36,67
2,0,288,240,16,16,0,0
2,0,320,192,8,16,-26,30
2,8,320,192,8,16,-23,30
2,0,336,192,16,8,-23,30
2,4,336,192,16,8,-21,22
2,0,320,208,16,16,-20,30
2,0,336,208,8,16,-20,30
2,8,336,208,8,16,-17,28
2,0,352,192,16,16,-21,22
2,0,368,192,8,16,-21,22
2,8,368,192,8,16,-19,21
2,0,352,208,4,16,-16,21
2,2,352,208,12,16,-16,24
2,0,368,208,16,16,-18,19
2,0,320,224,8,16,-17,28
2,8,320,224,8,16,-14,33
2,0,336,224,8,16,-14,26
2,8,336,224,8,16,-11,21
2,0,320,240,16,16,-12,31
2,0,336,240,8,16,-12,26
2,8,336,240,8,16,-10,26
2,0,352,224,8,16,-10,27
2,8,352,224,8,16,-11,24
2,0,368,224,16,16,-11,24
2,0,352,240,8,8,-11,27
2,0,360,240,8,8,-11,27
2,0,352,248,8,8,-10,26
2,0,360,248,8,8,-10,26
2,0,368,240,16,16,-8,19
2,0,384,192,16,16,0,0
2,0,400,192,16,16,0,0
2,0,384,208,16,16,-14,17
2,0,400,208,16,16,0,0
2,0,416,192,32,32,0,0
2,0,384,224,8,16,-13,21
2,8,384,224,8,16,-11,24
2,0,400,224,16,4,-14,17
2,1,400,224,16,12,0,0
2,0,384,240,16,8,-8,19
2,4,384,240,16,8,-11,13
2,0,400,240,16,4,-14,17
2,1,400,240,16,12,0,0
2,0,416,224,32,32,0,0
2,0,448,192,64,64,0,0
2,0,512,192,64,64,1,0
2,0,576,192,64,64,1,0
2,0,640,192,64,64,1,0
2,0,704,192,64,64,1,0
2,0,768,192,64,64,1,0
2,0,0,256,32,64,2,3
2,128,0,256,32,64,2,2
2,0,64,256,32,32,2,3
2,0,96,256,32,32,-14,2
2,0,64,288,32,16,2,2
2,16,64,288,32,16,2,3
2,0,96,288,32,16,2,3
2,16,96,288,32,16,0,0
2,0,128,256,32,32,-1,2
2,0,160,256,32,32,-1,2
2,0,128,288,32,32,0,0
2,0,160,288,32,32,0,0
2,0,192,256,64,64,0,0
2,0,256,256,32,32,0,0
2,0,288,256,16,16,-21,-11
2,0,304,272,16,8,-11,26
2,4,304,272,16,8,3,43
2,0,256,288,32,32,0,0
2,0,288,288,16,8,0,0
2,4,288,288,16,8,-2,9
2,0,304,288,16,4,-2,9
2,1,304,288,16,12,-11,26
2,0,288,304,16,8,0,0
2,4,288,304,16,8,-2,9
2,0,304,304,16,16,-4,12
2,0,320,256,16,16,-10,29
2,0,336,256,16,16,-10,26
2,0,320,272,16,4,3,43
2,1,320,272,16,12,-10,29
2,0,336,272,16,16,-10,29
2,0,352,256,16,16,-10,26
2,0,368,256,4,16,-10,26
2,2,368,256,12,16,-7,31
2,0,352,272,16,16,-10,29
2,0,368,272,8,16,-7,31
2,8,368,272,8,16,-8,26
2,0,320,288,16,16,-11,26
2,0,336,288,16,16,-11,26
2,0,320,304,16,8,-21,19
2,4,320,304,16,8,-11,26
2,0,336,304,16,16,-11,26
2,0,352,288,8,16,-15,26
2,8,352,288,8,16,-11,26
2,0,368,288,4,8,-8,21
2,2,368,288,4,8,-12,26
2,0,376,288,8,8,-12,26
2,0,368,296,4,8,-22,51
2,2,368,296,4,8,-11,26
2,0,376,296,8,8,-11,26
2,0,352,304,8,16,-10,28
2,8,352,304,8,16,-5,27
2,0,368,304,16,16,0,0
2,0,384,256,32,16,-9,13
2,16,384,256,32,16,0,0
2,0,416,256,32,32,0,0
2,0,384,288,16,12,-9,13
2,5,384,288,16,4,-12,23
2,0,408,288,8,8,0,0
2,0,400,296,8,8,-12,23
2,0,408,296,8,8,0,0
2,0,384,304,16,16,-12,23
2,0,400,304,16,16,0,0
2,0,416,288,32,32,0,0
2,0,448,256,64,64,1,0
2,0,512,256,64,64,1,0
2,0,576,256,64,64,1,0
2,0,640,256,64,64,1,0
2,0,704,256,64,64,1,0
2,0,768,256,64,64,1,0
2,0,0,320,64,64,2,2
2,0,64,320,64,32,2,2
2,64,64,320,64,32,0,-2
